Dataset,accuracy_with_anomalies_CENDO_FM,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_CENDO_FM,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_CENDO_FM,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_CENDO_FM,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_CENDO_FM,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.8753959873284055,0.8697641675466385,0.6941217881027807,0.5286131344282101,0.7209896838342879,0.0,0.6244908814751167,0.6290848254405619,0.0,Sigma0,Sigma1,Sigma0,50,50,50
ncm_10,0.8241881298992161,0.7726763717805151,0.8230683090705487,0.5148603520553664,0.6031430011733518,0.6457043430258487,0.5294721028687406,0.5404458350013448,0.5726293805166709,Sigma0,Sigma2,Sigma2,50,50,50
ncm_11,0.9853345554537122,0.9993889398105712,0.8927589367552704,0.7766880905701798,0.8213851726999768,0.7438654562921427,0.6969615161852345,0.7322619824471115,0.7569989875382587,Sigma5,Sigma4,Sigma4,50,50,50
ncm_12,0.6252215002953337,0.8945658594211459,0.7578263437684584,0.4818943918165531,0.6962374352065381,0.4632945529256625,0.2778344809677106,0.6950226402920144,0.3997047296603839,Sigma5,Sigma1,Sigma2,50,50,50
ncm_2,0.8646175504458001,0.8446738620366026,0.8761145002346317,0.7470859047211047,0.7097085270412022,0.7334381106957216,0.6912109896468572,0.6986270680012201,0.7155733212115265,Sigma3,Sigma5,Sigma4,50,50,50
ncm_3,0.7440201426772975,0.7381451951321863,0.8161980696600923,0.696050657612601,0.689627339760634,0.6222029887348257,0.5878275780222614,0.541488397277695,0.5666316655448003,Sigma3,Sigma5,Sigma3,50,50,50
ncm_4,0.904566210045662,0.8410958904109589,0.8415525114155251,0.6966808460580494,0.8161036368058622,0.8204283477194712,0.7519241915902428,0.7967274025890625,0.7985567182091878,Sigma0,Sigma3,Sigma1,50,50,50
ncm_5,0.8816725978647687,0.868920521945433,0.909252669039146,0.7100739353684116,0.7585182834745428,0.7552323770820617,0.6904471472708866,0.6736298463231658,0.7560023985587927,Sigma0,Sigma3,Sigma1,50,50,50
ncm_6,0.6861111111111111,0.7574074074074074,0.8002314814814815,0.6010340645285505,0.6951524056925111,0.6953149957637003,0.4632533905721288,0.5313305818092344,0.5177175497970732,Sigma3,Sigma3,Sigma2,50,50,50
ncm_7,0.7396171903214157,0.8125677139761647,0.7963163596966414,0.3332195016632526,0.674551979439455,0.585150078325644,0.2786473718233517,0.7158618022600985,0.6066213014635338,Sigma3,Sigma2,Sigma1,50,50,50
ncm_8,0.8777686628383922,0.7637407711238721,0.793273174733388,0.7199985145122243,0.52124854848486,0.5881271681137177,0.6396087113278838,0.3889179334877727,0.5245495234472313,Sigma5,Sigma4,Sigma2,50,50,50
ncm_9,1.0,1.0,0.8048876625936146,1.0,1.0,0.0,1.0,1.0,0.0,Sigma2,Sigma1,Sigma0,50,50,50
ncm_rmv_1,0.8283681636282793,0.7025344597598933,0.8670520231213873,0.8212486272815398,0.7585018831127909,0.821790106332228,0.7456898180059248,0.6209303072893632,0.715830111325683,Sigma5,Sigma5,Sigma1,50,50,50
ncm_rmv_2,0.7506738544474394,0.8244609164420486,0.6893530997304582,0.6380624646132265,0.8339919146940137,0.658060983346678,0.6022971273570316,0.8176506448275273,0.5143835250108938,Sigma1,Sigma1,Sigma4,50,50,50
ncm_rmv_3,0.6493418832264597,0.6361795477556531,0.8204522443469456,0.5094975699090319,0.5945101668271386,0.7414424182970331,0.354239405066552,0.4206080231452074,0.6834466782103967,Sigma4,Sigma5,Sigma1,50,50,50
ncm_rmv_4,0.6614961712153937,0.7107795012762615,0.6850579226389162,0.6458647236751213,0.6967661561005922,0.7143861197710352,0.4190954434599127,0.6278632418214475,0.5755242486633438,Sigma5,Sigma1,Sigma4,50,50,50
