Dataset,accuracy_with_anomalies_CENDO_FM,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_CENDO_FM,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_CENDO_FM,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_CENDO_FM,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_CENDO_FM,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.6099964801126364,0.8697641675466385,0.5867652235128475,0.3861087545985105,0.7209896838342879,0.6121711761292121,0.2943739362652611,0.6290848254405619,0.3615159813430698,Sigma3,Sigma1,Sigma5,50,50,50
ncm_10,0.6142217245240762,0.7278835386338186,0.8230683090705487,0.6330677761133781,0.7471564729830967,0.6457043430258487,0.4575814189477952,0.603518441900227,0.5726293805166709,Sigma5,Sigma4,Sigma2,50,50,50
ncm_11,0.9810571341277116,0.9993889398105712,0.8927589367552704,0.8458283944732311,0.8213851726999768,0.7438654562921427,0.8319931553560711,0.7322619824471115,0.7569989875382587,Sigma4,Sigma4,Sigma4,50,50,50
ncm_12,0.6101594802126403,0.8945658594211459,0.6969875959834613,0.4673541147493211,0.6962374352065381,0.6539713776411249,0.2846965889390436,0.6950226402920144,0.4546435337519886,Sigma3,Sigma1,Sigma4,50,50,50
ncm_2,0.9343031440638198,0.8446738620366026,0.8761145002346317,0.8605504072608762,0.7097085270412022,0.7334381106957216,0.8019083700109113,0.6986270680012201,0.7155733212115265,Sigma5,Sigma5,Sigma4,50,50,50
ncm_3,0.7364666386907259,0.7381451951321863,0.8161980696600923,0.6993393632262912,0.689627339760634,0.6222029887348257,0.7001547501788542,0.541488397277695,0.5666316655448003,Sigma2,Sigma5,Sigma3,50,50,50
ncm_4,0.9296803652968036,0.8410958904109589,0.8415525114155251,0.8427495641462508,0.8161036368058622,0.8204283477194712,0.8721833973509582,0.7967274025890625,0.7985567182091878,Sigma2,Sigma3,Sigma1,50,50,50
ncm_5,0.8953143534994069,0.7944839857651246,0.909252669039146,0.8939904668979171,0.8398701484566218,0.7552323770820617,0.8792989153471492,0.7737235218339932,0.7560023985587927,Sigma2,Sigma1,Sigma1,50,50,50
ncm_6,0.756712962962963,0.7275462962962963,0.6291666666666667,0.6633495718824555,0.7024685166534939,0.7881064485266676,0.56749237303781,0.5665382378077354,0.6193291500305667,Sigma4,Sigma2,Sigma1,50,50,50
ncm_7,0.711087035030697,0.8125677139761647,0.7963163596966414,0.7636943685975423,0.674551979439455,0.585150078325644,0.5865718872565484,0.7158618022600985,0.6066213014635338,Sigma5,Sigma2,Sigma1,50,50,50
ncm_8,0.8769483182936834,0.7358490566037735,0.7112387202625102,0.716333997935875,0.5867094793673042,0.7209512356855879,0.6374348751278149,0.4320093842777887,0.5477871750325926,Sigma5,Sigma0,Sigma2,50,50,50
ncm_9,1.0,1.0,0.770595191170674,1.0,1.0,0.3415164840910345,1.0,1.0,0.286669491062122,Sigma2,Sigma1,Sigma5,50,50,50
ncm_rmv_1,0.8288128056914184,0.701645175633615,0.8670520231213873,0.8215202571381475,0.7772283181901867,0.821790106332228,0.7463239830156692,0.6433756185063685,0.715830111325683,Sigma5,Sigma4,Sigma1,50,50,50
ncm_rmv_2,0.8118261455525606,0.8244609164420486,0.6893530997304582,0.7705414204514642,0.8339919146940137,0.658060983346678,0.7217497979672084,0.8176506448275273,0.5143835250108938,Sigma5,Sigma1,Sigma4,50,50,50
ncm_rmv_3,0.565305433682079,0.6243671954100574,0.8204522443469456,0.6126958704167534,0.6423147023871681,0.7414424182970331,0.442170315895372,0.5080888575304819,0.6834466782103967,Sigma5,Sigma1,Sigma1,50,50,50
ncm_rmv_4,0.6194777145101119,0.7054781072059689,0.6850579226389162,0.690327652256629,0.794297410016873,0.7143861197710352,0.4326761354960705,0.6443816692156067,0.5755242486633438,Sigma5,Sigma2,Sigma4,50,50,50
