Dataset,accuracy_with_anomalies_CENDO_FM,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_CENDO_FM,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_CENDO_FM,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_CENDO_FM,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_CENDO_FM,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.5554382259767687,0.8697641675466385,0.5867652235128475,0.3829057816458335,0.7209896838342879,0.6121711761292121,0.2921294078586665,0.6290848254405619,0.3615159813430698,Sigma3,Sigma1,Sigma5,50,50,50
ncm_10,0.7105263157894737,0.7278835386338186,0.8230683090705487,0.617520643865543,0.7471564729830967,0.6457043430258487,0.5417219243532371,0.603518441900227,0.5726293805166709,Sigma4,Sigma4,Sigma2,50,50,50
ncm_11,0.8664833486098381,0.9993889398105712,0.8927589367552704,0.6670009980874052,0.8213851726999768,0.7438654562921427,0.6190912793619527,0.7322619824471115,0.7569989875382587,Sigma4,Sigma4,Sigma4,50,50,50
ncm_12,0.6101594802126403,0.8945658594211459,0.6969875959834613,0.5702667078024237,0.6962374352065381,0.6539713776411249,0.3429047456737294,0.6950226402920144,0.4546435337519886,Sigma3,Sigma1,Sigma4,50,50,50
ncm_2,0.9347724073205068,0.8446738620366026,0.8761145002346317,0.8617564534637218,0.7097085270412022,0.7334381106957216,0.8027159971582912,0.6986270680012201,0.7155733212115265,Sigma4,Sigma5,Sigma4,50,50,50
ncm_3,0.6638690725975661,0.7381451951321863,0.8161980696600923,0.5627222527728208,0.689627339760634,0.6222029887348257,0.5423770238142022,0.541488397277695,0.5666316655448003,Sigma2,Sigma5,Sigma3,50,50,50
ncm_4,0.93013698630137,0.8410958904109589,0.8415525114155251,0.8394805679042944,0.8161036368058622,0.8204283477194712,0.8703977751888428,0.7967274025890625,0.7985567182091878,Sigma2,Sigma3,Sigma1,50,50,50
ncm_5,0.8469750889679716,0.7944839857651246,0.909252669039146,0.8817514301062548,0.8398701484566218,0.7552323770820617,0.8564352641183337,0.7737235218339932,0.7560023985587927,Sigma2,Sigma1,Sigma1,50,50,50
ncm_6,0.7310185185185185,0.7275462962962963,0.6291666666666667,0.7957064413636197,0.7024685166534939,0.7881064485266676,0.7615984801235899,0.5665382378077354,0.6193291500305667,Sigma5,Sigma2,Sigma1,50,50,50
ncm_7,0.6413867822318526,0.8125677139761647,0.7963163596966414,0.5979142674120497,0.674551979439455,0.585150078325644,0.438569050514267,0.7158618022600985,0.6066213014635338,Sigma4,Sigma2,Sigma1,50,50,50
ncm_8,0.7481542247744053,0.7358490566037735,0.7112387202625102,0.7237232906648156,0.5867094793673042,0.7209512356855879,0.65619737879493,0.4320093842777887,0.5477871750325926,Sigma2,Sigma0,Sigma2,50,50,50
ncm_9,1.0,1.0,0.770595191170674,1.0,1.0,0.3415164840910345,1.0,1.0,0.286669491062122,Sigma2,Sigma1,Sigma5,50,50,50
ncm_rmv_1,0.8319253001333926,0.701645175633615,0.8670520231213873,0.827637234977039,0.7772283181901867,0.821790106332228,0.752093685734701,0.6433756185063685,0.715830111325683,Sigma5,Sigma4,Sigma1,50,50,50
ncm_rmv_2,0.7616239892183289,0.8244609164420486,0.6893530997304582,0.7662181997018449,0.8339919146940137,0.658060983346678,0.649844028539733,0.8176506448275273,0.5143835250108938,Sigma3,Sigma1,Sigma4,50,50,50
ncm_rmv_3,0.7165035437057037,0.6243671954100574,0.8204522443469456,0.7234998138399494,0.6423147023871681,0.7414424182970331,0.5812901158171493,0.5080888575304819,0.6834466782103967,Sigma4,Sigma1,Sigma1,50,50,50
ncm_rmv_4,0.6116237973689378,0.7054781072059689,0.6850579226389162,0.6952559744076285,0.794297410016873,0.7143861197710352,0.4422530985322604,0.6443816692156067,0.5755242486633438,Sigma4,Sigma2,Sigma4,50,50,50
