Dataset,accuracy_with_anomalies_CENDO_FM,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_CENDO_FM,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_CENDO_FM,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_CENDO_FM,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_CENDO_FM,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.6571629707849349,0.8697641675466385,0.5867652235128475,0.4360075637894113,0.7209896838342879,0.6121711761292121,0.2764297058278803,0.6290848254405619,0.3615159813430698,Sigma3,Sigma1,Sigma5,50,50,50
ncm_10,0.7094064949608063,0.7278835386338186,0.8230683090705487,0.63211637234476,0.7471564729830967,0.6457043430258487,0.5879952379374092,0.603518441900227,0.5726293805166709,Sigma3,Sigma4,Sigma2,50,50,50
ncm_11,0.9718912312862816,0.9993889398105712,0.8927589367552704,0.8185222955348692,0.8213851726999768,0.7438654562921427,0.7976862677041439,0.7322619824471115,0.7569989875382587,Sigma3,Sigma4,Sigma4,50,50,50
ncm_12,0.6092734790313054,0.8945658594211459,0.6969875959834613,0.5842666503778906,0.6962374352065381,0.6539713776411249,0.3676772722611944,0.6950226402920144,0.4546435337519886,Sigma3,Sigma1,Sigma4,50,50,50
ncm_2,0.8732989206945097,0.8446738620366026,0.8761145002346317,0.8341252827360789,0.7097085270412022,0.7334381106957216,0.8150372230466716,0.6986270680012201,0.7155733212115265,Sigma3,Sigma5,Sigma4,50,50,50
ncm_3,0.985312631137222,0.7381451951321863,0.8161980696600923,0.94249817385272,0.689627339760634,0.6222029887348257,0.9569593733619436,0.541488397277695,0.5666316655448003,Sigma5,Sigma5,Sigma3,50,50,50
ncm_4,0.8990867579908676,0.8410958904109589,0.8415525114155251,0.737711988358638,0.8161036368058622,0.8204283477194712,0.8062107022748152,0.7967274025890625,0.7985567182091878,Sigma1,Sigma3,Sigma1,50,50,50
ncm_5,0.8953143534994069,0.7944839857651246,0.909252669039146,0.895533456256142,0.8398701484566218,0.7552323770820617,0.8801897099647357,0.7737235218339932,0.7560023985587927,Sigma2,Sigma1,Sigma1,50,50,50
ncm_6,0.6921296296296297,0.7275462962962963,0.6291666666666667,0.7074642384487664,0.7024685166534939,0.7881064485266676,0.613755266430889,0.5665382378077354,0.6193291500305667,Sigma4,Sigma2,Sigma1,50,50,50
ncm_7,0.9566630552546046,0.8125677139761647,0.7963163596966414,0.8454158182816586,0.674551979439455,0.585150078325644,0.8612746381774548,0.7158618022600985,0.6066213014635338,Sigma3,Sigma2,Sigma1,50,50,50
ncm_8,0.8785890073831009,0.7358490566037735,0.7112387202625102,0.7239443556611009,0.5867094793673042,0.7209512356855879,0.6417878101966965,0.4320093842777887,0.5477871750325926,Sigma5,Sigma0,Sigma2,50,50,50
ncm_9,1.0,1.0,0.770595191170674,1.0,1.0,0.3415164840910345,1.0,1.0,0.286669491062122,Sigma2,Sigma1,Sigma5,50,50,50
ncm_rmv_1,0.9155180080035572,0.701645175633615,0.8670520231213873,0.9308489906237238,0.7772283181901867,0.821790106332228,0.9085533017320796,0.6433756185063685,0.715830111325683,Sigma4,Sigma4,Sigma1,50,50,50
ncm_rmv_2,0.8266509433962265,0.8244609164420486,0.6893530997304582,0.7841326878352703,0.8339919146940137,0.658060983346678,0.7243185763425103,0.8176506448275273,0.5143835250108938,Sigma5,Sigma1,Sigma4,50,50,50
ncm_rmv_3,0.7559905501181235,0.6243671954100574,0.8204522443469456,0.6865095314067079,0.6423147023871681,0.7414424182970331,0.5660011787152901,0.5080888575304819,0.6834466782103967,Sigma4,Sigma1,Sigma1,50,50,50
ncm_rmv_4,0.661103475358335,0.7054781072059689,0.6850579226389162,0.7511789773297248,0.794297410016873,0.7143861197710352,0.5101385769742783,0.6443816692156067,0.5755242486633438,Sigma5,Sigma2,Sigma4,50,50,50
