method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,1,377,1,0.9920106524633822,1.6509419455240846,366.4922774238143,7.286463,26.845947,0.1483763114857884,116.67117,2,0.13644819,1128.6666666666667,SwinV2-B,ncm_12,0.0,0.7279976373301831,0.4876991328739512,0.3403900725563329,ncm_12,SwinV2-B,Sigma1
HDBSCAN,1,89,1,0.8045516269815335,2.5263035785112717,127.13950927459835,5.7812963,18.855608,0.1393660946569848,55.64685,16,0.11659626,71.70588235294117,SwinV2-B,ncm_8,0.1616078753076292,0.5900195694716243,0.7237623994049036,0.5096228040455397,ncm_8,SwinV2-B,Sigma1
HDBSCAN,1,610,1,0.4071330076040333,3.142244425340168,399.5717975524052,5.5647593,24.950224,0.0115003366007133,88.11603,65,0.0661687,65.45454545454545,SwinV2-B,ncm_6,0.3099537037037037,0.5192888292519289,0.5525577843960106,0.3036238155386787,ncm_6,SwinV2-B,Sigma1
HDBSCAN,1,144,1,0.9286997464686708,1.7166722453590846,413.55763971566455,5.7325187,17.66075,0.1791389909754785,44.298397,14,0.26358345,189.4,SwinV2-B,ncm_1,0.1017247448081661,0.4200626959247649,0.5282452381115865,0.1988566978149738,ncm_1,SwinV2-B,Sigma1
HDBSCAN,1,233,1,0.7121504991644784,2.6839987699113017,170.50804498063914,5.6279116,23.457336,0.0259018205915511,77.85798,39,0.055754267,69.225,SwinV2-B,ncm_7,0.3199711087035031,0.5103558151885289,0.3803454129129466,0.204335217672215,ncm_7,SwinV2-B,Sigma1
HDBSCAN,1,89,1,0.7266655896533392,2.8643259658617937,151.24579577950718,5.463716,20.51912,0.0462287947033837,61.946007,56,0.04619446,44.50877192982456,SwinV2-B,ncm_9,0.2238864800945998,0.3499238191975622,0.3983327097668837,0.1465835654735215,ncm_9,SwinV2-B,Sigma1
HDBSCAN,1,89,1,0.8813722291109226,2.271038761763988,169.79241266191053,6.369864,21.223833,0.1886266489409614,74.27348,28,0.15789957,77.55172413793103,SwinV2-B,ncm_rmv_1,0.0804802134281903,0.5701160541586073,0.7783136843775715,0.5213016005373217,ncm_rmv_1,SwinV2-B,Sigma1
HDBSCAN,1,377,1,0.8029840860068455,2.4867118450197148,296.84960623354056,5.594537,24.011438,0.0457640338172371,81.49917,34,0.10478237,93.51428571428572,SwinV2-B,ncm_11,0.453712190650779,0.6661073825503355,0.6152396399101,0.444623065033464,ncm_11,SwinV2-B,Sigma1
HDBSCAN,1,144,1,0.8476690741956665,1.4411351992997277,151.0864389956374,7.406541,24.562607,0.3391318850558086,73.74816,3,0.13808464,446.5,SwinV2-B,ncm_10,0.0531914893617021,0.4382022471910112,0.1513991794462978,0.018979226462005,ncm_10,SwinV2-B,Sigma1
HDBSCAN,1,233,1,0.8293914065457821,2.175064414414304,853.7926747533327,7.3029313,21.564724,0.2161885778813482,69.17296,18,0.32177857,224.31578947368425,SwinV2-B,ncm_2,0.148052557484749,0.8793720738088681,0.8523388344652584,0.7921206470710264,ncm_2,SwinV2-B,Sigma1
HDBSCAN,1,377,1,0.9368298368298368,1.6316104264500684,500.2279444967711,6.959622,27.097986,0.0792245563921434,107.87321,5,0.1342367,562.0,SwinV2-B,ncm_5,0.001779359430605,0.6666666666666666,0.5578358013608761,0.4673684653561961,ncm_5,SwinV2-B,Sigma1
HDBSCAN,1,377,1,0.7355101608146111,1.6605350832045298,391.0574517670538,6.691464,21.924461,0.269555606858653,79.57669,5,0.16519307,365.0,SwinV2-B,ncm_4,0.002283105022831,0.5990846681922197,0.6754278879726572,0.4978076688396211,ncm_4,SwinV2-B,Sigma1
HDBSCAN,1,377,1,0.7829490865419608,2.47927879477586,297.30440462121936,6.631784,28.120674,0.024775142952454,112.30909,10,0.11228958,216.63636363636363,SwinV2-B,ncm_3,0.1435165757448594,0.7413032827045566,0.7621553914788907,0.6399264739194653,ncm_3,SwinV2-B,Sigma1
HDBSCAN,1,233,1,0.8078905786965235,2.596724956969832,332.228945403916,5.688949,22.378677,0.0491082665841178,75.49883,75,0.058463756,78.10526315789474,SwinV2-B,ncm_rmv_2,0.2045148247978436,0.7384582803896654,0.8054289163509112,0.6535536313417213,ncm_rmv_2,SwinV2-B,Sigma1
HDBSCAN,1,233,1,0.75368798143601,2.128717083429075,403.6203760556898,5.983447,21.439245,0.0539291617832402,63.300823,61,0.09374717,82.14516129032258,SwinV2-B,ncm_rmv_4,0.2905949342234439,0.5571547190700249,0.6245105428457401,0.2513378106402387,ncm_rmv_4,SwinV2-B,Sigma1
HDBSCAN,1,233,1,0.8439840239640539,2.236145810827036,382.3391863957691,6.6715856,24.863997,0.1946661401887789,86.89328,5,0.16802897,493.8333333333333,SwinV2-B,ncm_rmv_3,0.1454606817414782,0.4885466034755134,0.2265952041018931,0.0125704242139882,ncm_rmv_3,SwinV2-B,Sigma1
