method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,10,233,1,1.0,1.502402251556058,1868.7779209179248,0.32977828,3.7564495,0.6187093431136275,2.067145,9,0.29044497,338.6,CendoFM,ncm_12,0.0593620791494389,0.3927786499215071,0.4082760793017919,0.1370630673046396,ncm_12,CendoFM,Sigma10
HDBSCAN,10,89,1,1.0,1.501467793397585,1957.24583162059,0.50271827,1.9165252,0.7654767701499027,0.41425362,9,0.3627231,121.9,CendoFM,ncm_8,0.018047579983593,0.5873015873015873,0.6727399943423552,0.4488630686105144,ncm_8,CendoFM,Sigma10
HDBSCAN,10,144,1,1.0,1.8982138385080525,1450.7959521079272,0.32307371,3.3999856,0.5981324373113361,1.2871886,21,0.22453354,196.3636363636364,CendoFM,ncm_6,0.0854166666666667,0.5355606175651734,0.7284480392148442,0.4988129269010937,ncm_6,CendoFM,Sigma10
HDBSCAN,10,55,1,1.0,1.5408971322211464,1078.8182145184096,0.17337072,2.237816,0.6404119945963401,0.7983365,24,0.3564307,113.64,CendoFM,ncm_1,0.0552622316085885,0.2630402384500745,0.4770587705672541,0.1385021355171196,ncm_1,CendoFM,Sigma10
HDBSCAN,10,377,1,1.0,2.01007678630804,693.2837635198863,0.24967842,3.8212385,0.4733911532350833,1.7072598,4,0.1409414,553.8,CendoFM,ncm_7,0.2376309136872517,0.5594504973945997,0.4127199979115173,0.2667445044829808,ncm_7,CendoFM,Sigma10
HDBSCAN,10,377,1,1.0,1.018832118994064,1388.7285181641353,0.5085811,4.9877143,0.4610460824799012,2.1588795,3,0.33597532,634.25,CendoFM,ncm_9,0.0015766653527788,0.7879984208448481,0.67983603774846,0.5199937216316911,ncm_9,CendoFM,Sigma10
HDBSCAN,10,89,1,1.0,1.355520795949303,1066.8435823583277,0.4050452,3.0214112,0.5245711228139566,1.0994585,18,0.2590096,118.36842105263158,CendoFM,ncm_rmv_1,0.151622943530458,0.6016771488469602,0.7787432862019684,0.5128598264046512,ncm_rmv_1,CendoFM,Sigma10
HDBSCAN,10,89,1,1.0,1.367469137619609,1416.9780555118457,0.18913712,2.4283974,0.6518552449146864,0.71625173,15,0.27045184,204.5625,CendoFM,ncm_11,0.0406355025970057,0.4681528662420382,0.5912239705685643,0.3438294111619824,ncm_11,CendoFM,Sigma10
HDBSCAN,10,55,1,1.0,1.218030904932324,544.3881735837667,0.22558576,1.9674456,0.6945496833700051,0.553615,20,0.3525759,85.04761904761905,CendoFM,ncm_10,0.0436730123180291,0.4033957845433255,0.6095326240921533,0.3580587936894432,ncm_10,CendoFM,Sigma10
HDBSCAN,10,89,1,1.0,1.7050163937210294,2105.487091361267,0.37878355,3.088399,0.6960373859772061,1.1120465,20,0.44048735,202.95238095238096,CendoFM,ncm_2,0.024870952604411,0.6412415784408084,0.7238898448277101,0.6164988677574627,ncm_2,CendoFM,Sigma10
HDBSCAN,10,377,1,1.0,1.2987886924144905,1541.631466776693,0.5116117,3.7296963,0.5903028940994056,1.4817365,3,0.32865694,843.0,CendoFM,ncm_5,0.2055160142348754,0.999626726390444,0.9972152673271724,0.9990061613525818,ncm_5,CendoFM,Sigma10
HDBSCAN,10,377,1,1.0,0.3804636721671046,13036.78724518449,0.25838295,4.4855924,0.6692679126670737,1.8851726,1,0.74708694,1095.0,CendoFM,ncm_4,0.0,0.8415525114155251,0.8166905076532607,0.7978954817332371,ncm_4,CendoFM,Sigma10
HDBSCAN,10,144,1,1.0,1.195082263010237,1471.202548036031,0.23354529,2.7366812,0.6142328688900718,0.90060073,9,0.32891265,238.3,CendoFM,ncm_3,0.0797314309693663,0.6060191518467852,0.7389009469078208,0.5173911224683501,ncm_3,CendoFM,Sigma10
HDBSCAN,10,377,1,1.0,2.1698624809306177,1284.2540900177191,0.4453858,4.551315,0.5916735634143958,2.4506497,9,0.12949872,593.6,CendoFM,ncm_rmv_2,0.0869272237196765,0.6584870848708487,0.7250066734368895,0.5589658814048487,ncm_rmv_2,CendoFM,Sigma10
HDBSCAN,10,144,1,1.0,1.671745356270108,1654.3490289283764,0.31140238,3.2119052,0.6645108396410047,1.5208191,30,0.2743251,164.29032258064515,CendoFM,ncm_rmv_4,0.0418221087767524,0.3799180327868852,0.6631282652366749,0.2752320034198001,ncm_rmv_4,CendoFM,Sigma10
HDBSCAN,10,55,1,1.0,1.3833508952797606,982.5280954503306,0.25221297,2.3260882,0.678096556523903,0.73287755,22,0.23436406,128.82608695652175,CendoFM,ncm_rmv_3,0.0523118461019237,0.459045584045584,0.6357940525103241,0.3380220005928818,ncm_rmv_3,CendoFM,Sigma10
