method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,100,13,1,1.0,1.1954518551148896,1401.8768265854033,0.11001279,0.3319811,0.7449036551789823,0.0131303705,14,0.28214875,225.7333333333333,ResNet-50,ncm_12,0.1653868871825162,0.4334748761500354,0.4611354542484046,0.1943863893304769,ncm_12,ResNet-50,Sigma100
HDBSCAN,100,233,1,1.0,0.4783184726562854,2233.8319728413708,0.0027628806,0.3347805,0.5729640427828253,0.01195134,2,0.64573276,406.3333333333333,ResNet-50,ncm_8,0.1394585726004922,0.797902764537655,0.4908198967514758,0.4534483554670264,ncm_8,ResNet-50,Sigma100
HDBSCAN,100,13,1,1.0,1.0527822849728656,2471.420117018435,0.044595603,0.3010558,0.7078318051679098,0.011506071,13,0.43294668,308.57142857142856,ResNet-50,ncm_6,0.1067129629629629,0.6892977455299301,0.7964425664697283,0.6539222677808348,ncm_6,ResNet-50,Sigma100
HDBSCAN,100,34,1,1.0,1.1659907361222843,1270.262087603561,0.042151343,0.26207224,0.629424008072716,0.007852479,13,0.42485887,202.92857142857144,ResNet-50,ncm_1,0.1647307286166842,0.4669195111672988,0.5636833313317777,0.2499477584936645,ncm_1,ResNet-50,Sigma100
HDBSCAN,100,144,1,1.0,1.2339058516731072,1477.8845262233824,0.026131615,0.38012797,0.7285561302567123,0.017912004,6,0.37444785,395.57142857142856,ResNet-50,ncm_7,0.0917298663777537,0.7220675944333996,0.737250716643944,0.5785691214641945,ncm_7,ResNet-50,Sigma100
HDBSCAN,100,144,1,1.0,0.9630285731856172,5245.825503133832,0.04572678,0.35471717,0.6697512696721017,0.013000001,6,0.5170378,362.4285714285714,ResNet-50,ncm_9,0.07686243594797,0.3992314261315115,0.2683262834881684,0.0548071352355217,ncm_9,ResNet-50,Sigma100
HDBSCAN,100,89,1,1.0,1.329594871428473,1540.9974745915677,0.04257125,0.29295686,0.698306747427203,0.010237717,8,0.43158746,249.88888888888889,ResNet-50,ncm_rmv_1,0.1178301467318808,0.6532258064516129,0.7230815628869796,0.5650691304591264,ncm_rmv_1,ResNet-50,Sigma100
HDBSCAN,100,144,1,1.0,1.250620707612406,2217.4302794867663,0.13867712,0.42227834,0.804265823515719,0.022931982,13,0.35314655,233.78571428571428,ResNet-50,ncm_11,0.128933699969447,0.5801473167309716,0.70037564217032,0.5233567893101126,ncm_11,ResNet-50,Sigma100
HDBSCAN,100,144,1,1.0,0.8959450524291795,922.06249873166,0.0032223996,0.62306166,0.6127642407232927,0.047651246,2,0.35119507,595.3333333333334,ResNet-50,ncm_10,0.0795072788353863,0.6715328467153284,0.5835577508462745,0.4503630786092637,ncm_10,ResNet-50,Sigma100
HDBSCAN,100,610,1,1.0,0.6967074389625431,4204.814897221779,0.0032727227,0.7301011,0.6333437038853266,0.04451599,2,0.5165773,1420.6666666666667,ResNet-50,ncm_2,0.0485687470671046,0.6705302096177559,0.5111551763208497,0.4301439846403473,ncm_2,ResNet-50,Sigma100
HDBSCAN,100,21,1,1.0,1.3687726924132495,1366.4033698578432,0.03051098,0.387845,0.6833928232185374,0.01886944,11,0.29728544,281.0,ResNet-50,ncm_5,0.1236654804270462,0.6223350253807106,0.6292417639336214,0.5015170799160589,ncm_5,ResNet-50,Sigma100
HDBSCAN,100,34,1,1.0,0.9965125076376518,2992.0212601065004,0.043330174,0.31481522,0.6671159811081421,0.011199254,8,0.562852,243.33333333333331,ResNet-50,ncm_4,0.117351598173516,0.5726849456802897,0.6945694671785798,0.4750835894598703,ncm_4,ResNet-50,Sigma100
HDBSCAN,100,21,1,1.0,1.0172024926497345,1199.1706778179348,0.014661923,0.28153017,0.5933617781167524,0.010443248,9,0.375492,238.3,ResNet-50,ncm_3,0.1351237935375576,0.7064531780688986,0.707298377879978,0.6006048118609639,ncm_3,ResNet-50,Sigma100
HDBSCAN,100,1597,1,1.0,0.6328126739738277,10203.39081211147,0.004293734,1.2117054,0.6655180824862983,0.13709736,1,0.5380084,2968.0,ResNet-50,ncm_rmv_2,0.0,0.5283018867924528,0.4538270580963891,0.2891960354060816,ncm_rmv_2,ResNet-50,Sigma100
HDBSCAN,100,13,1,1.0,1.2189192929698875,1463.2140253387738,0.07680284,0.31811687,0.6897794154970305,0.01224157,20,0.34263062,242.52380952380952,ResNet-50,ncm_rmv_4,0.1529550363243668,0.5449698655540102,0.6697415931277542,0.3783348990243198,ncm_rmv_4,ResNet-50,Sigma100
HDBSCAN,100,144,1,1.0,1.1101681850793823,2427.7604958395004,0.046643708,0.38348603,0.6728006244862667,0.017369794,8,0.43995357,329.22222222222223,ResNet-50,ncm_rmv_3,0.0867364157948025,0.6851441241685144,0.6715435077007521,0.5361931513582738,ncm_rmv_3,ResNet-50,Sigma100
