method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinski–Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,25,55,1,1.0,1.50663668711172,797.0648478349729,0.2702986,1.4447353,0.7528138507284736,0.32484326,26,0.38249615,125.4074074074074,EndoFM,ncm_12,0.0691080921441228,0.2836294416243655,0.5113654563712555,0.1793076848176684,ncm_12,EndoFM,Sigma25
HDBSCAN,25,13,1,1.0,1.332403600922887,824.7898753749854,0.11733212,0.86661136,0.6454079454650927,0.09546768,14,0.41905743,81.26666666666667,EndoFM,ncm_8,0.1222313371616078,0.3841121495327103,0.6134076730525672,0.3041549855375532,ncm_8,EndoFM,Sigma25
HDBSCAN,25,144,1,1.0,1.5893561855902298,861.7145370452814,0.13419947,1.7055944,0.7255513959357931,0.4171566,15,0.26308146,270.0,EndoFM,ncm_6,0.0439814814814815,0.5460048426150121,0.7110792305856293,0.5025304836372048,ncm_6,EndoFM,Sigma25
HDBSCAN,25,34,1,1.0,1.309884491331177,1039.882935422311,0.2156508,0.9731591,0.7197359090633678,0.13063973,29,0.4812157,94.7,EndoFM,ncm_1,0.0985568461809222,0.2659117532213979,0.4683926642135987,0.1283814831502852,ncm_1,EndoFM,Sigma25
HDBSCAN,25,13,1,1.0,1.3214693082519398,428.5779611982208,0.16825406,0.9477264,0.7090471240330177,0.1252139,39,0.33225802,69.225,EndoFM,ncm_7,0.1112314915131816,0.271434376269809,0.4424829330082931,0.1315147029660953,ncm_7,EndoFM,Sigma25
HDBSCAN,25,89,1,1.0,1.5169934579533555,705.2040989167389,0.13419583,1.4362931,0.6666729163827106,0.3003528,11,0.33080268,211.41666666666663,EndoFM,ncm_9,0.0776507686243594,0.297008547008547,0.3947294325058645,0.1395850632599195,ncm_9,EndoFM,Sigma25
HDBSCAN,25,55,1,1.0,1.454572423725205,797.8892582355228,0.14995778,1.0369887,0.6864279843302806,0.16341782,21,0.42322725,102.22727272727272,EndoFM,ncm_rmv_1,0.0782570031124944,0.397009165460685,0.6861495290884134,0.3701610369012105,ncm_rmv_1,EndoFM,Sigma25
HDBSCAN,25,55,1,1.0,1.37161020470966,942.1450645641214,0.075872004,1.2092564,0.6509721219036918,0.19405344,23,0.42210308,136.375,EndoFM,ncm_11,0.069660861594867,0.2916256157635468,0.558267172447495,0.2363061605955177,ncm_11,EndoFM,Sigma25
HDBSCAN,25,55,1,1.0,1.0872672464252209,694.0197180263901,0.23789342,1.1063963,0.7041968738018024,0.17052995,19,0.414759,89.3,EndoFM,ncm_10,0.1086226203807391,0.4233668341708542,0.6211253585815565,0.3442796218980112,ncm_10,EndoFM,Sigma25
HDBSCAN,25,144,1,1.0,1.3247013004301142,2556.358487562828,0.19308703,1.4792333,0.6702449866790116,0.30839574,13,0.47187182,304.42857142857144,EndoFM,ncm_2,0.0692163303613326,0.7307789261406604,0.8119849290937766,0.7432880440961898,ncm_2,EndoFM,Sigma25
HDBSCAN,25,55,1,1.0,1.437225597793369,671.3588748987578,0.16084015,1.0513552,0.7155938684201291,0.15461713,34,0.37370747,96.34285714285714,EndoFM,ncm_5,0.0800711743772242,0.2817537072856221,0.5454676652901104,0.2321072816217802,ncm_5,EndoFM,Sigma25
HDBSCAN,25,13,1,1.0,1.3634411211554285,825.0957787727903,0.17526306,1.07392,0.6619329972148528,0.14833239,21,0.37443185,99.54545454545456,EndoFM,ncm_4,0.1091324200913241,0.3464889800102511,0.5407068555382398,0.2563270437528585,ncm_4,EndoFM,Sigma25
HDBSCAN,25,89,1,1.0,1.4515647434779384,806.574542471872,0.23835437,1.3874192,0.6780876380562103,0.27921838,13,0.36855784,170.21428571428572,EndoFM,ncm_3,0.0759546789760805,0.4950045413260672,0.6652909079128847,0.41423550720007,ncm_3,EndoFM,Sigma25
HDBSCAN,25,89,1,1.0,1.660012192877157,966.1827422009466,0.20209949,1.3650634,0.7123857628253717,0.27308586,34,0.29017076,169.6,EndoFM,ncm_rmv_2,0.0747978436657682,0.3774581209031318,0.7105692849151775,0.3451138331437807,ncm_rmv_2,EndoFM,Sigma25
HDBSCAN,25,55,1,1.0,1.3884335876797127,875.0750397784715,0.28942823,1.3471628,0.7372099676389962,0.28702632,38,0.34566203,130.5897435897436,EndoFM,ncm_rmv_4,0.0979776163361476,0.3336961253809316,0.6593999751040895,0.2525963317637479,ncm_rmv_4,EndoFM,Sigma25
HDBSCAN,25,55,1,1.0,1.2315593238345008,1089.2855496423206,0.142691,1.1866883,0.6920869338180904,0.19657685,26,0.3875031,109.74074074074076,EndoFM,ncm_rmv_3,0.0843739453256834,0.3623295245116107,0.6874993267049474,0.3338845647950141,ncm_rmv_3,EndoFM,Sigma25
