Dataset,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.8697641675466385,0.8243576205561423,Sigma1,Sigma3,300,300
ncm_10,0.7726763717805151,0.8437849944008958,Sigma2,Sigma5,300,500
ncm_11,0.9993889398105712,0.874732661167125,Sigma5,Sigma5,500,500
ncm_12,0.8945658594211459,0.7542823390431187,Sigma1,Sigma2,500,1000
ncm_2,0.8446738620366026,0.8263725950258095,Sigma5,Sigma1,500,300
ncm_3,0.7381451951321863,0.8661351237935375,Sigma5,Sigma3,300,500
ncm_4,0.8410958904109589,0.9287671232876712,Sigma3,Sigma1,1000,300
ncm_5,0.868920521945433,0.8229537366548043,Sigma4,Sigma2,300,300
ncm_6,0.7574074074074074,0.7513888888888889,Sigma5,Sigma1,500,500
ncm_7,0.8125677139761647,0.6832791621524016,Sigma2,Sigma5,1000,500
ncm_8,0.7637407711238721,0.6751435602953241,Sigma4,Sigma1,300,300
ncm_9,1.0,0.8048876625936146,Sigma1,Sigma0,300,300
ncm_rmv_1,0.6229435304579813,0.9084037349933304,Sigma1,Sigma1,300,300
ncm_rmv_2,0.8096361185983828,0.6799191374663073,Sigma1,Sigma3,300,300
ncm_rmv_3,0.6361795477556531,0.6365170435369558,Sigma5,Sigma1,300,300
ncm_rmv_4,0.7107795012762615,0.6446102493618693,Sigma1,Sigma3,500,300
