Dataset,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.8697641675466385,0.8243576205561423,0.7209896838342859,0.6387451024438828,0.6290848254405619,0.4959261377431274,Sigma1,Sigma3,300,300
ncm_10,0.7726763717805151,0.8437849944008958,0.603143001173352,0.6674575783935713,0.5404458350013448,0.6428712500803297,Sigma2,Sigma5,300,500
ncm_11,0.9993889398105712,0.874732661167125,0.8212421033293016,0.700068703042004,0.7320105398580532,0.6894951660103671,Sigma5,Sigma5,500,500
ncm_12,0.8945658594211459,0.7542823390431187,0.6962374352065384,0.45853499590582,0.6950226402920144,0.3923112599308221,Sigma1,Sigma2,500,1000
ncm_2,0.8446738620366026,0.8263725950258095,0.7097085270412025,0.7615055933942352,0.6986270680012201,0.7000881608294655,Sigma5,Sigma1,500,300
ncm_3,0.7381451951321863,0.8661351237935375,0.6896273397606336,0.6618787092688196,0.541488397277695,0.6350740548797272,Sigma5,Sigma3,300,500
ncm_4,0.8410958904109589,0.9287671232876712,0.8161036368058634,0.8456330179958389,0.7967274025890625,0.8791153272580062,Sigma3,Sigma1,1000,300
ncm_5,0.868920521945433,0.8229537366548043,0.7585182834745429,0.6600174297234134,0.6736298463231658,0.6056765348087629,Sigma4,Sigma2,300,300
ncm_6,0.7574074074074074,0.7513888888888889,0.6951524056925114,0.6309084422908705,0.5313305818092344,0.5203193629001247,Sigma5,Sigma1,500,500
ncm_7,0.8125677139761647,0.6832791621524016,0.6745519794394554,0.5842349818631999,0.7158618022600985,0.4859291630656511,Sigma2,Sigma5,1000,500
ncm_8,0.7637407711238721,0.6751435602953241,0.5212485484848597,0.6091568174085671,0.3889179334877727,0.4129963226170438,Sigma4,Sigma1,300,300
ncm_9,1.0,0.8048876625936146,1.0,0.0,1.0,0.0,Sigma1,Sigma0,300,300
ncm_rmv_1,0.6229435304579813,0.9084037349933304,0.6478335411412546,0.9160699859417264,0.4619174475684162,0.8461125209808522,Sigma1,Sigma1,300,300
ncm_rmv_2,0.8096361185983828,0.6799191374663073,0.8338467524957552,0.726455168980384,0.793620303341209,0.6029409578091793,Sigma1,Sigma3,300,300
ncm_rmv_3,0.6361795477556531,0.6365170435369558,0.5945101668271389,0.6104331942373548,0.4206080231452074,0.5087362738707678,Sigma5,Sigma1,300,300
ncm_rmv_4,0.7107795012762615,0.6446102493618693,0.6967661561005926,0.6105414849320273,0.6278632418214475,0.3620504357017441,Sigma1,Sigma3,500,300
