Dataset,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.8697641675466385,0.7268567405843013,0.7209896838342859,0.6888642810414298,0.6290848254405619,0.4649788562454511,Sigma1,Sigma4,300,300
ncm_10,0.7278835386338186,0.8437849944008958,0.7471564729830962,0.6674575783935713,0.603518441900227,0.6428712500803297,Sigma5,Sigma5,300,500
ncm_11,0.9993889398105712,0.8741216009776963,0.8213851726999762,0.7007281975009347,0.7322619824471115,0.6891463015922623,Sigma4,Sigma3,500,1000
ncm_12,0.754873006497342,0.6792675723567632,0.7043295909700616,0.5996242046443284,0.5914820680108321,0.4236520493944822,Sigma2,Sigma1,500,500
ncm_2,0.8291881745659315,0.8263725950258095,0.7111033398199015,0.7615055933942352,0.6908659533583569,0.7000881608294655,Sigma4,Sigma1,1000,300
ncm_3,0.7381451951321863,0.7234578262694084,0.6896273397606336,0.6673230839975077,0.541488397277695,0.4967390806014084,Sigma5,Sigma4,300,300
ncm_4,0.8410958904109589,0.9287671232876712,0.8161036368058634,0.8456330179958389,0.7967274025890625,0.8791153272580062,Sigma3,Sigma1,1000,300
ncm_5,0.7944839857651246,0.8229537366548043,0.8398701484566218,0.6600174297234134,0.7737235218339932,0.6056765348087629,Sigma1,Sigma2,300,300
ncm_6,0.6782407407407407,0.5988425925925925,0.7305085367413064,0.7034439835727813,0.5495929309763214,0.5195035628481747,Sigma2,Sigma5,300,300
ncm_7,0.6894185626579993,0.6143011917659805,0.725301585392453,0.6158563242995272,0.5418071194885231,0.4743608067968017,Sigma2,Sigma1,500,500
ncm_8,0.7637407711238721,0.6751435602953241,0.5212485484848597,0.6091568174085671,0.3889179334877727,0.4129963226170438,Sigma4,Sigma1,300,300
ncm_9,1.0,0.7043752463539614,1.0,0.5902892857395113,1.0,0.424674326871288,Sigma1,Sigma2,300,300
ncm_rmv_1,0.6229435304579813,0.9084037349933304,0.6478335411412546,0.9160699859417264,0.4619174475684162,0.8461125209808522,Sigma1,Sigma1,300,300
ncm_rmv_2,0.8096361185983828,0.6799191374663073,0.8338467524957552,0.726455168980384,0.793620303341209,0.6029409578091793,Sigma1,Sigma3,300,300
ncm_rmv_3,0.6280796490043874,0.600742490718866,0.6874167614191578,0.6345196133051403,0.5041145971391582,0.4621262832608782,Sigma2,Sigma2,300,300
ncm_rmv_4,0.7054781072059689,0.623404673080699,0.7942974100168734,0.6828341499507699,0.6443816692156067,0.4585657560007627,Sigma2,Sigma1,500,500
