;angiodysplasia;erosion;stenosis;lymphangiectasia;lymph follicle;SMT;polyp-like;bleeding;diverticulum;erythema;foreign body;vein
0;275;28;2972;150;76;121;18;219;600;78;1292;876
1;276;30;2973;151;103;122;19;220;604;82;1293;2154
2;277;31;2974;152;119;123;20;221;605;83;1294;2155
3;278;32;2975;153;120;553;21;223;606;84;1295;2156
4;279;33;2976;171;129;952;22;224;607;86;1438;2157
5;280;34;2977;172;130;2066;23;225;1290;88;1446;2158
6;281;35;2978;173;131;2086;24;226;1291;89;1447;2159
7;282;36;2979;176;132;2087;25;227;5120;90;1564;2160
8;351;39;2980;177;133;2088;26;228;5121;91;1565;2161
9;352;40;2981;319;134;2154;27;229;5122;92;1566;2162
10;368;41;2982;320;135;2155;250;230;5123;93;1568;2163
11;369;42;2984;368;136;2156;251;231;13891;94;1569;2164
12;649;43;2985;370;137;2157;282;232;13892;95;1570;2165
13;716;44;2986;371;138;2158;302;233;13893;96;1571;2166
14;717;45;2987;372;139;2159;303;234;13894;294;1572;2167
15;720;46;2988;373;140;2160;304;235;13895;295;1573;2168
16;721;47;2989;427;141;2161;425;236;13896;296;1574;2178
17;722;48;2990;429;142;2162;426;237;13897;297;1575;2179
18;729;49;2991;563;143;2163;500;238;13898;298;1576;2180
19;730;50;2992;573;144;2164;502;239;17536;299;1577;2181
20;731;51;2993;579;145;2165;524;240;17537;300;1578;2182
21;732;52;2994;580;146;2166;525;241;17585;301;1579;2183
22;782;53;2995;581;147;2167;530;242;17586;302;1580;2184
23;783;54;2996;582;148;2168;547;243;17587;303;1581;2185
24;786;55;2998;589;149;2174;548;244;17589;304;1582;2186
25;787;56;2999;590;150;2266;549;245;17590;305;1583;2187
26;829;57;3000;608;152;2267;550;246;17597;306;1584;2188
27;831;58;3001;613;154;2270;551;247;18045;307;1585;2189
28;832;59;3002;617;180;2275;557;248;18047;308;1586;2190
29;841;60;3003;618;181;2276;558;249;18048;309;1587;2191
30;852;61;3004;662;186;2277;559;250;18049;310;1588;2192
31;854;62;3005;674;188;2278;560;251;18050;311;1589;2194
32;857;63;3006;680;189;2279;561;252;18051;312;1590;2195
33;858;64;3007;681;190;2280;603;253;18052;313;1591;2205
34;859;65;3008;682;199;2281;629;254;18053;314;1592;2206
35;860;68;3009;683;333;2282;630;255;18054;315;1593;2208
36;861;69;3010;684;339;2283;631;256;18055;316;1594;2209
37;862;70;3011;685;377;2284;632;257;18270;365;1595;2210
38;863;71;3012;687;378;2285;633;258;18271;519;1596;2212
39;869;72;3013;692;379;2286;634;259;18272;721;1597;2213
40;870;73;3014;693;380;2287;635;260;-1;990;1598;2214
41;878;74;3015;694;381;2288;636;261;-1;1327;1599;2215
42;879;75;3016;695;383;2289;637;262;-1;1328;1600;2216
43;898;82;3017;696;384;2291;638;263;-1;1332;1601;2217
44;900;83;3018;697;385;2293;639;264;-1;1333;1602;2218
45;913;84;3019;698;386;2294;640;265;-1;1334;1603;2219
46;914;85;3020;699;387;2295;641;266;-1;1335;1604;2220
47;950;86;3021;700;388;2296;642;267;-1;1336;1605;2221
48;951;87;3037;701;389;2297;643;268;-1;1337;1606;2222
49;1002;88;3042;702;390;2298;644;269;-1;1338;1607;2223
50;1074;89;3043;703;391;2299;645;270;-1;1339;1608;2224
51;1137;90;3044;704;392;2300;646;271;-1;1340;1609;2225
52;1247;91;3045;705;394;2301;647;785;-1;1341;1610;2227
53;1248;92;3046;804;395;2302;648;786;-1;1342;1611;2228
54;1249;93;3047;805;397;2303;649;787;-1;1343;1612;2229
55;1257;94;3048;806;398;2304;650;788;-1;1344;1613;2230
56;1258;95;3049;845;399;2305;651;793;-1;1400;1614;2232
57;1273;96;3050;846;400;2306;652;947;-1;1451;1615;2233
58;1299;97;3051;847;401;2307;653;1450;-1;1452;1616;2234
59;1323;98;3052;848;402;2308;654;1452;-1;1453;1617;2235
60;1374;99;3053;849;403;2309;655;1455;-1;1454;1618;2236
61;1399;100;3054;851;404;2310;656;1456;-1;1455;1619;2237
62;1475;101;3055;852;405;2311;664;1457;-1;1466;1620;2238
63;1476;102;3056;853;407;2312;665;1458;-1;1467;1621;2239
64;1535;104;3063;854;409;2313;666;1459;-1;1468;1622;2240
65;1690;105;3064;855;410;2314;667;1460;-1;1474;1623;2241
66;1699;106;3065;856;412;2315;842;1461;-1;1631;1624;2242
67;1773;107;3066;878;413;2316;843;1462;-1;1677;1625;2243
68;1789;108;3067;879;414;2317;844;2092;-1;1747;1626;2244
69;1797;109;3068;970;415;2318;850;2093;-1;1748;1627;2245
70;1802;110;3069;998;416;2319;855;2094;-1;1749;1628;2248
71;2149;111;3070;999;417;2320;856;2095;-1;1750;1835;2249
72;2150;112;3071;1127;418;2322;866;2096;-1;1765;2178;2250
73;2151;128;3072;1128;419;2323;867;2097;-1;1766;2179;2251
74;2152;133;3073;1129;420;2324;868;2098;-1;1767;2180;2252
75;2535;156;3074;1303;421;2325;872;2099;-1;1768;2181;2253
76;2579;159;3075;1304;423;2328;873;2100;-1;1769;2182;2254
77;2587;165;3076;1310;433;2329;874;2101;-1;1770;2183;2255
78;2595;166;3077;1311;445;2330;881;2102;-1;1771;2184;2256
79;2596;193;3078;1312;486;2331;882;2103;-1;1772;2185;2257
80;2597;194;3079;1323;487;2333;883;2104;-1;1774;2186;2258
81;2598;204;3080;1324;488;2334;884;2105;-1;1775;2187;2259
82;2599;205;3081;1325;490;2335;885;2106;-1;1776;2188;2260
83;2600;206;3082;1362;495;2336;887;2107;-1;1788;2189;2261
84;2601;207;3083;1406;496;2337;888;2108;-1;1816;2190;2262
85;2602;208;3084;1407;497;2338;957;2109;-1;1817;2191;2265
86;2603;210;3085;1408;498;2339;958;2110;-1;1826;2192;2266
87;2604;211;3086;1412;500;2340;959;2111;-1;1827;2194;2267
88;2605;212;3087;1413;501;2341;960;2112;-1;1828;2195;2268
89;2606;213;3088;1414;502;2342;1008;2113;-1;1829;2196;2269
90;2609;223;3089;1415;503;2343;1012;2114;-1;1830;2197;2270
91;2610;263;3090;1416;504;2344;1043;2115;-1;1832;2198;2271
92;2617;264;3091;1419;505;2345;1300;2116;-1;1833;2199;2272
93;2627;265;3092;1420;506;2346;1301;5131;-1;1836;2636;2273
94;2811;266;3093;1421;507;2347;1302;5132;-1;1837;2654;2275
95;2957;267;3094;1429;508;2348;1305;5133;-1;1838;2658;2276
96;5171;294;3095;1554;509;2349;1306;5134;-1;1839;2659;2277
97;5172;295;3096;1574;510;2350;1307;5135;-1;1840;2660;2278
98;5173;296;3097;1998;511;2352;1308;5136;-1;1841;2661;2279
99;5176;297;3098;2004;512;2353;1309;5137;-1;1842;2662;2280
100;5177;298;3099;2005;513;2354;1310;5138;-1;1843;2663;2281
101;5672;299;3100;2006;514;2355;1311;5139;-1;1844;2664;2282
102;5674;300;3101;2008;515;2356;1312;5140;-1;1845;2665;2283
103;5675;301;3102;2009;516;2400;1313;5141;-1;1846;2666;2284
104;5676;302;3103;2037;517;2401;1314;5142;-1;1847;2667;2285
105;5678;303;3104;2038;518;2402;1364;5143;-1;1848;2668;2286
106;5679;304;3105;2039;519;2423;1374;5144;-1;1849;2669;2287
107;5680;305;3106;2040;520;2424;1404;5145;-1;1850;2670;2288
108;5681;307;3107;2041;521;2430;1405;5146;-1;1851;2671;2289
109;5682;308;3108;2042;522;2442;1466;5147;-1;1852;2672;2291
110;5683;328;3109;2044;523;2443;1467;5148;-1;1853;2673;2292
111;5684;341;3177;2655;524;2444;1470;5149;-1;1854;2674;2293
112;5685;347;3178;2656;525;2448;1471;5150;-1;1855;2675;2294
113;5686;348;3179;2657;536;2449;1472;5178;-1;1856;2676;2295
114;5687;349;3180;2764;611;2450;1473;5315;-1;1857;2677;2296
115;5688;353;3181;2818;612;2471;1637;5316;-1;1858;2678;2297
116;5689;354;3183;2819;615;2477;1638;5378;-1;1860;2679;2298
117;5690;355;3184;2823;619;2478;1774;5380;-1;1861;2680;2299
118;5691;403;3185;2876;621;2480;1775;5382;-1;1862;2681;2300
119;5692;412;3186;2879;622;2487;1781;5383;-1;1863;2682;2301
120;5693;430;3187;2880;623;2488;1991;5384;-1;1864;2683;2302
121;5694;431;3189;2881;624;2489;2051;5385;-1;1865;2684;2303
122;5695;432;3190;2882;628;2490;2052;5386;-1;1866;2685;2304
123;5696;448;3207;2883;630;2491;2053;5387;-1;1867;2686;2305
124;5697;449;3208;2884;638;2492;2054;5388;-1;1868;2687;2306
125;5698;450;3209;2954;641;2493;2055;5389;-1;1869;2688;2307
126;5699;451;3210;2956;642;2498;2062;5390;-1;1870;2689;2308
127;5700;452;3211;2970;645;2499;2063;5391;-1;1871;2690;2309
128;5701;453;3212;3265;647;2512;2064;5392;-1;1872;2691;2310
129;5702;454;3213;3272;651;2580;2065;5393;-1;1873;2692;2311
130;5703;455;3214;3273;657;2581;2067;5394;-1;1874;2693;2312
131;5704;456;3215;5129;659;2588;2068;5395;-1;1875;2694;2313
132;5705;457;3216;5130;660;2589;2069;5396;-1;1876;2695;2314
133;5706;458;3217;5151;661;2590;2070;5397;-1;1878;2696;2315
134;5707;459;3218;5152;663;2806;2071;5398;-1;1879;2697;2316
135;5708;460;3219;5153;706;2807;2072;5399;-1;1880;2698;2317
136;5709;461;3228;5154;712;2808;2073;5400;-1;1881;2699;2318
137;5710;462;3233;5155;713;4976;2074;5401;-1;1882;2700;2319
138;5711;463;3235;5156;714;4977;2076;5402;-1;1883;2701;2320
139;5712;464;3236;5157;718;5159;2077;5403;-1;1884;2702;2321
140;5713;465;3237;5158;719;5160;2078;5405;-1;1885;2703;2324
141;5714;466;3238;5278;722;5161;2079;5985;-1;1886;2704;2325
142;5715;467;3239;5279;723;5162;2080;6400;-1;1887;2705;2326
143;5716;468;3240;5280;724;5163;2081;6401;-1;1888;2706;2327
144;5717;469;3242;5281;725;5407;2082;6402;-1;1889;2707;2328
145;5718;470;3243;5282;738;5408;2083;6403;-1;1890;2708;2329
146;5719;471;3244;5283;739;5409;2084;6404;-1;1891;2709;2330
147;5720;472;3245;5284;740;5410;2085;6405;-1;1892;2710;2331
148;5721;473;3247;5285;741;5411;2117;6406;-1;1893;2711;2332
149;5722;474;3248;5286;742;5412;2118;6407;-1;1894;2712;2333
150;5724;475;3249;5452;743;5413;2119;6408;-1;1895;2713;2334
151;5725;476;3251;5453;744;5962;2120;6409;-1;1896;2714;2335
152;5726;477;3252;5523;745;6894;2121;6410;-1;1897;2715;2336
153;5727;478;3253;5532;746;7068;2130;6411;-1;1898;2716;2337
154;5730;479;5618;5535;748;7071;2131;6412;-1;1899;2717;2338
155;5837;480;5619;5542;749;7072;2138;6413;-1;1900;2718;2339
156;5838;481;5620;5563;754;7073;2139;6414;-1;1901;2719;2340
157;5873;482;5621;5564;755;7139;2140;6415;-1;1902;2720;2341
158;5942;483;5622;5565;802;7181;2141;6416;-1;1903;2721;2342
159;5994;484;5623;5566;814;7182;2142;6417;-1;1904;2722;2343
160;6050;485;5632;5567;816;7183;2143;6418;-1;1905;2723;2344
161;6056;489;5636;5568;825;7751;2144;6419;-1;1906;2724;2345
162;6090;491;5981;5586;830;7813;2145;6420;-1;1907;2725;2346
163;6135;492;5982;6146;841;7814;2146;7680;-1;1908;2726;2347
164;6141;493;5983;6148;868;7982;2427;7681;-1;1909;2727;2348
165;6142;494;7064;6149;871;8053;2428;7682;-1;1910;2728;2349
